,exon_number,BRAIN/HTSEQ_SRR1747143.bam_OUTPUT.txt,BRAIN/HTSEQ_SRR1747147.bam_OUTPUT.txt,BRAIN/HTSEQ_SRR1747148.bam_OUTPUT.txt,BRAIN/HTSEQ_SRR1747155.bam_OUTPUT.txt,BRAIN/HTSEQ_SRR1747156.bam_OUTPUT.txt,BRAIN/HTSEQ_SRX834738.bam_OUTPUT.txt,BRAIN/HTSEQ_SRX834742.bam_OUTPUT.txt,T_CELLS//HTSEQ_Brother_1.bam_OUTPUT.txt,T_CELLS//HTSEQ_Brother_2.bam_OUTPUT.txt,T_CELLS//HTSEQ_Brother_3_unstimulated.bam_OUTPUT.txt,T_CELLS//HTSEQ_Brother_4_unstimulated.bam_OUTPUT.txt,T_CELLS//HTSEQ_HD_1.bam_OUTPUT.txt,T_CELLS//HTSEQ_HD_2.bam_OUTPUT.txt,T_CELLS//HTSEQ_HD_3_unstimulated.bam_OUTPUT.txt,T_CELLS//HTSEQ_HD_4_unstimulated.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460835.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460842.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460845.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460848.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460854.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460866.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460868.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460869.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460871.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460878.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460890.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460893.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460894.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460922.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460934.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460951.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460954.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460955.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460960.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460976.bam_OUTPUT.txt
23,23,23.83236347,21.35777574,9.621980117,13.34257274,37.14921991,11.82541998,13.90423093,1.682210181,4.393366944,2.104269477,10.98053825,1.496953029,0,0,10.33320492,8.373321248,6.505178462,7.386427643,8.70890291,5.134761393,7.225437612,5.720173734,13.94906103,2.995712654,1.334489947,2.518147658,1.950652482,17.47602855,11.42195771,5.734169268,11.54334174,10.20867898,14.02731467,5.70189731,6.455277868
24,24,15.88824231,18.30666492,10.26344546,12.6013187,32.14836339,7.525267262,9.559158767,5.046630544,0.878673389,3.507115796,10.98053825,0.374238257,0,1.841620092,10.33320492,2.791107083,3.252589231,7.386427643,3.483561164,3.080856836,2.408479204,4.290130301,6.974530516,2.995712654,2.668979893,5.036295315,3.901304964,16.31095998,9.899030015,5.734169268,4.617336698,11.66706169,15.43004613,13.30442706,5.164222294
25,25,22.13005179,23.64610885,17.31956421,18.90197805,43.57889259,15.05053452,19.11831753,11.77547127,10.54408067,5.611385273,12.35310553,2.619667801,2.379018298,5.524860276,3.287837928,2.791107083,6.505178462,7.386427643,3.483561164,4.107809114,1.204239602,4.290130301,5.230897887,2.995712654,2.668979893,2.518147658,4.876631205,17.47602855,9.137566168,5.734169268,4.617336698,11.66706169,16.8327776,15.20505949,6.455277868
26,26,5.106935029,7.627777049,8.980514776,6.671286369,12.14493728,4.300152721,6.952115467,2.523315272,0.878673389,0.701423159,2.745134562,1.871191287,0,0.920810046,2.818146795,1.395553541,0.813147308,0,0,0,0,0,0,0,0,0,0,2.33013714,0.761463847,0,0,0,1.402731467,0,1.291055574
27,27,22.13005179,19.06944262,14.11223751,17.41946996,36.43481184,15.05053452,19.98733197,9.252155998,5.272040333,9.118501069,9.150448539,4.490859088,4.758036596,4.143645207,0,9.768874789,12.19720962,7.386427643,13.93424466,3.080856836,3.612718806,18.59056464,10.46179577,16.47641959,5.337959786,7.554442973,11.70391489,18.64109712,15.99074079,5.734169268,16.16067844,8.750296265,14.02731467,19.00632437,21.94794475
28,28,22.69748902,16.0183318,9.621980117,15.19570784,29.29073108,12.90045816,19.11831753,7.569945817,6.150713722,10.52134739,7.320358831,6.362050374,4.758036596,1.841620092,2.348455663,12.55998187,17.07609346,9.233034554,17.41780582,6.161713671,8.429677214,15.73047777,12.2054284,11.98285061,5.337959786,5.036295315,12.67924113,23.3013714,17.51366849,10.03479622,15.00634427,13.1254444,22.44370347,24.70822168,24.5300559
29,29,26.10211237,11.44166557,10.26344546,10.00692955,32.14836339,22.57580179,15.6422598,9.252155998,7.908060499,11.22277055,7.320358831,4.490859088,0,1.381215069,2.348455663,6.977767707,13.82350423,1.846606911,10.45068349,6.161713671,6.02119801,4.290130301,6.974530516,0,1.334489947,0,4.876631205,15.14589141,9.899030015,4.300626951,6.926005046,10.20867898,35.06828667,11.40379462,10.32844459
30,30,27.80442405,12.20444328,14.75370285,10.00692955,25.71869071,17.20061088,13.0352165,3.364420363,6.150713722,5.611385273,5.032746697,5.61357386,1.903214638,0.920810046,2.348455663,4.186660624,7.31832577,1.846606911,3.483561164,3.080856836,3.612718806,4.290130301,5.230897887,1.497856327,1.334489947,0,2.925978723,6.99041142,3.045855389,0,4.617336698,4.375148132,21.040972,13.30442706,2.582111147
31,31,28.9392985,11.44166557,17.31956421,11.48943764,25.00428263,22.57580179,19.11831753,5.046630544,7.908060499,9.118501069,5.947791551,5.239335602,1.903214638,0.920810046,0,4.186660624,9.757767693,3.693213822,3.483561164,2.053904557,4.816958408,5.720173734,3.487265258,2.995712654,1.334489947,5.036295315,2.925978723,2.33013714,3.045855389,0,3.463002523,5.833530843,11.22185173,17.10569193,1.291055574
32,32,40.85548023,19.06944262,23.73421762,15.56633486,33.57717954,18.27564906,26.93944744,13.45768145,7.908060499,14.72988634,10.52301582,5.987812117,1.903214638,8.287290414,4.227220193,2.791107083,7.31832577,0,5.225341746,1.026952279,3.612718806,2.860086867,1.743632629,0,0,5.036295315,1.950652482,4.66027428,3.045855389,1.433542317,1.154334174,8.750296265,22.44370347,26.60885412,2.582111147
33,33,91.35739329,54.15721705,33.99766308,36.32144801,68.58317522,39.77641267,68.65214024,23.55094254,20.20948794,23.14696425,21.96107649,13.09833901,6.185447574,6.906075345,8.454440386,0,3.252589231,1.846606911,3.483561164,0,1.204239602,1.430043434,1.743632629,0,0,0,0,13.98082284,0.761463847,4.300626951,1.154334174,4.375148132,42.081944,22.80758924,3.873166721
34,34,48.79960139,31.2738859,16.67809887,18.90197805,37.14921991,19.35068725,34.76057734,5.046630544,6.150713722,11.22277055,8.235403685,4.490859088,0.951607319,0,11.27258718,2.791107083,0.813147308,0,0,0,0,1.430043434,1.743632629,2.995712654,0,0,0.975326241,5.82534285,0.761463847,2.867084634,1.154334174,1.458382711,12.6245832,5.70189731,9.037389015
35,35,423.3081702,174.6760944,97.50273186,120.4537817,255.0436829,249.4088578,242.4550269,58.03625126,57.99244366,84.1707791,80.52394715,29.56482233,23.79018298,20.25782101,32.87837928,19.53774958,25.20756654,18.46606911,17.41780582,17.45818874,16.85935443,15.73047777,22.66722418,16.47641959,4.00346984,40.29036252,9.753262409,89.71027989,28.9356262,32.97147329,28.85835436,18.95897524,123.4403691,133.0442706,49.06011179
